route,classification,initialStatus,initialLocation,status,finalUrl,contentType,cacheControl,canonical
"/cn/oriafarm-retreat","public","200","","200","http://127.0.0.1:3377/cn/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/oriafarm-retreat"
"/cn/pure-relaxation","public","200","","200","http://127.0.0.1:3377/cn/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/pure-relaxation"
"/cn/new-user/standard/checkout","public","200","","200","http://127.0.0.1:3377/cn/new-user/standard/checkout","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/jp/oriahome","public","200","","200","http://127.0.0.1:3377/jp/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp/oriahome"
"/jp/oriafarm-retreat","public","200","","200","http://127.0.0.1:3377/jp/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp/oriafarm-retreat"
"/jp/pure-relaxation","public","200","","200","http://127.0.0.1:3377/jp/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp/pure-relaxation"
"/jp/new-user/standard/checkout","public","200","","200","http://127.0.0.1:3377/jp/new-user/standard/checkout","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/kr/oriahome","public","200","","200","http://127.0.0.1:3377/kr/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/kr/oriahome"
"/kr/oriafarm-retreat","public","200","","200","http://127.0.0.1:3377/kr/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/kr/oriafarm-retreat"
"/kr/pure-relaxation","public","200","","200","http://127.0.0.1:3377/kr/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/kr/pure-relaxation"
"/kr/new-user/standard/checkout","public","200","","200","http://127.0.0.1:3377/kr/new-user/standard/checkout","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/local-tour/saigon-xua","public","200","","200","http://127.0.0.1:3377/local-tour/saigon-xua","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/local-tour/saigon-xua"
"/vi/local-tour/saigon-xua","public","200","","200","http://127.0.0.1:3377/vi/local-tour/saigon-xua","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/local-tour/saigon-xua"
"/en/local-tour/saigon-xua","public","200","","200","http://127.0.0.1:3377/en/local-tour/saigon-xua","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/local-tour/saigon-xua"
"/cn/local-tour/saigon-xua","public","200","","200","http://127.0.0.1:3377/cn/local-tour/saigon-xua","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/local-tour/saigon-xua"
"/jp/local-tour/saigon-xua","public","200","","200","http://127.0.0.1:3377/jp/local-tour/saigon-xua","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp/local-tour/saigon-xua"
"/kr/local-tour/saigon-xua","public","200","","200","http://127.0.0.1:3377/kr/local-tour/saigon-xua","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/kr/local-tour/saigon-xua"
